,Date,midpt_Lat,midpt_Lon,Cluster
95,2011-07-09,41.982274630447726,-87.80995250291352,0
13911,2013-05-09,41.98685193015921,-87.68357228747232,1
14606,2013-05-09,41.98685193015921,-87.68357228747232,2
2209,2013-07-17,42.0071771693466,-87.81113483216464,4
2537,2013-07-17,42.0071771693466,-87.81113483216464,3
4411,2013-07-25,41.7288663859382,-87.64970910102812,5
6018,2013-08-08,41.95453488101255,-87.72287906332113,6
7213,2013-08-15,41.931466768022375,-87.69703534262085,7
10022,2013-08-22,41.92760444284933,-87.78304041607744,8
10867,2013-08-22,41.92760444284933,-87.78304041607744,9
11609,2013-08-29,41.885313123032894,-87.71700869362206,10
12980,2013-08-29,41.774074581049945,-87.7165904814478,11
